"notation","title","description","id","title_en","description_en"
"1","ihr Orientierungswissen über die Zielkulturen in vielfältigen Situationen anwenden: Aspekte der Alltagskultur und Berufswelt, Themen und Probleme junger Erwachsener, gegenwärtige politische und soziale Bedingungen, historische und kulturelle Entwicklungen einschließlich literarischer Aspekte sowie Themen von globaler Bedeutung","","e2r",,
"2","ihr Wissen über Kommunikation anwenden und fremdsprachige Konventionen beachten, u. a. zur Signalisierung von Distanz und Nähe","","v2h",,
"3","ihre Wahrnehmungen und (Vor-)Urteile erkennen, hinterfragen, relativieren und ggf. revidieren","","s5a",,
"4","einen Perspektivenwechsel vollziehen sowie verschiedene Perspektiven vergleichen und abwägen","","r3v",,
"5","Werte, Haltungen und Einstellungen ihrer zielsprachigen Kommunikationspartner erkennen und unter Berücksichtigung des fremdkulturellen Hintergrundes einordnen","","t2c",,
"6","fremdsprachige Texte und Diskurse in ihrer fremdkulturellen Dimension erfassen, deuten und bewerten","","g7g",,
"7","fremde und eigene Werte, Haltungen und Einstellungen im Hinblick auf international gültige Konventionen (z. B. die Menschenrechte) einordnen","","u6h",,
"8","ihr strategisches Wissen nutzen, um Missverständnisse und sprachlich-kulturell bedingte Konfliktsituationen zu erkennen und zu klären","","d7g",,
"9","sich trotz des Wissens um die eigenen begrenzten kommunikativen Mittel auf interkulturelle Kommunikationssituationen einlassen und ihr eigenes sprachliches Verhalten in seiner Wirkung reflektieren und bewerten","","b7p",,
"10","auch in für sie interkulturell herausfordernden Situationen reflektiert agieren, indem sie sprachlich und kulturell Fremdes auf den jeweiligen Hintergrund beziehen und sich konstruktiv-kritisch damit auseinandersetzen","","t9y",,
