"notation","title","description","id","title_en","description_en"
"1","Grundlegendes Niveau","Die Schülerinnen und Schüler können","h9x",,
"1.1","sprachlich und inhaltlich komplexe, literarische und nicht-literarische Texte verstehen und strukturiert zusammenfassen","","v5z",,
"1.2","mithilfe sprachlichen, inhaltlichen sowie textsortenspezifischen und ggf. stilistisch-rhetorischen Wissens literarische und nicht-literarische Texte aufgabenbezogen analysieren, deuten und die gewonnenen Aussagen am Text belegen","","d2s",,
"1.3","die Wirkung spezifischer Gestaltungsmittel medial vermittelter Texte erkennen und deuten","","b7d",,
"1.4","sich mit den Perspektiven und Handlungsmustern von Akteuren, Charakteren und Figuren auseinandersetzen und ggf. einen Perspektivenwechsel vollziehen","","b4s",,
"1.5","bei der Deutung eine eigene Perspektive herausarbeiten und plausibel darstellen","","v4r",,
"1.6","Textvorlagen durch das Verfassen eigener – auch kreativer – Texte erschließen, interpretieren und ggf. weiterführen","","h4q",,
"1.7","ihr Erstverstehen kritisch reflektieren, relativieren und ggf. revidieren","","c6a",,
"1.8","Hilfsmittel zum vertieften sprachlichen, inhaltlichen und textuellen Verstehen und Produzieren von Texten selbstständig verwenden","","s4c",,
"2","Erhöhtes Niveau","Die Schülerinnen und Schüler können darüber hinaus","e6s",,
"2.1","Gestaltungsmittel in ihrer Wirkung erkennen, deuten und bewerten","","p7c",,
"2.2","die von ihnen vollzogenen Deutungs- und Produktionsprozesse reflektieren und darlegen","","x7r",,
"2.3","Textvorlagen unter Berücksichtigung von Hintergrundwissen in ihrem historischen und sozialen Kontext interpretieren","","h4b",,
