"notation","title","description","id","title_en","description_en"
"1","Grundlegendes Niveau","Die Schülerinnen und Schüler können","g9e",,
"1.1","grundlegende Ausprägungen des fremdsprachigen Systems an Beispielen erkennen und benennen, Hypothesen im Bereich sprachlicher Regelmäßigkeiten formulieren und Ausdrucksvarianten einschätzen","","e4b",,
"1.2","regionale, soziale und kulturell geprägte Varietäten des Sprachgebrauchs erkennen","","s9c",,
"1.3","sprachliche Kommunikationsprobleme erkennen und Möglichkeiten ihrer Lösung,","","g6q",,
"1.4","u. a. durch den Einsatz von Kompensationsstrategien abwägen","","u7y",,
"1.5","wichtige Beziehungen zwischen Sprach- und Kulturphänomenen an Beispielen belegen und reflektieren","","a5h",,
"1.6","Gemeinsamkeiten, Unterschiede und Beziehungen zwischen Sprachen erkennen und reflektieren","","p4p",,
"1.7","über Sprache gesteuerte Beeinflussungsstrategien erkennen, beschreiben und bewerten","","z2p",,
"1.8","aufgrund ihrer Einsichten in die Elemente, Regelmäßigkeiten und Ausdrucksvarianten der Fremdsprache den eigenen Sprachgebrauch steuern","","s7a",,
"2","Erhöhtes Niveau","Die Schülerinnen und Schüler können darüber hinaus","p4s",,
"2.1","Varietäten des Sprachgebrauchs sprachvergleichend einordnen","","q4z",,
"2.2","die Erfordernisse einer kommunikativen Situation (u. a. bezogen auf Medium, Adressatenbezug, Absicht, Stil, Register) reflektieren und in ihrem Sprachhandeln berücksichtigen","","t3u",,
